Date,Open,High,Low,Close,Adj Close,Volume
2023-03-14,122.010002,123.000000,120.809998,121.610001,121.610001,602560
2023-03-15,121.489998,123.000000,119.000000,122.000000,122.000000,878858
2023-03-16,122.949997,123.099998,121.500000,121.779999,121.779999,552263
2023-03-17,122.000000,122.099998,120.000000,120.529999,120.529999,319071
2023-03-20,120.529999,120.529999,118.160004,118.500000,118.500000,262166
2023-03-21,119.000000,121.500000,117.550003,120.040001,120.040001,731759
2023-03-22,120.349998,121.500000,117.959999,118.330002,118.330002,408330
2023-03-23,null,null,null,null,null,null
2023-03-24,118.349998,118.349998,115.099998,115.459999,115.459999,240383
2023-03-27,115.459999,116.699997,114.400002,114.680000,114.680000,282878
2023-03-28,115.400002,115.949997,114.620003,115.449997,115.449997,270751
2023-03-29,115.959999,116.000000,114.750000,115.379997,115.379997,426864
2023-03-30,115.500000,116.269997,114.750000,115.019997,115.019997,423740
2023-03-31,115.019997,119.449997,114.019997,117.889999,117.889999,772324
2023-04-03,117.889999,117.889999,114.739998,115.110001,115.110001,531937
2023-04-04,115.699997,115.699997,112.889999,113.980003,113.980003,428728
2023-04-05,114.120003,115.400002,114.120003,114.330002,114.330002,147205
2023-04-06,115.000000,118.750000,114.199997,117.879997,117.879997,829238
2023-04-10,117.000000,117.000000,115.000000,115.269997,115.269997,155735
2023-04-11,115.300003,115.820000,114.519997,114.989998,114.989998,72909
2023-04-12,115.010002,115.599998,114.650002,114.849998,114.849998,411352
2023-04-13,116.000000,116.849998,114.699997,115.059998,115.059998,497133
2023-04-14,null,null,null,null,null,null
2023-04-17,115.699997,115.959999,114.500000,114.650002,114.650002,241787
2023-04-18,115.320000,115.320000,114.019997,114.459999,114.459999,127819
2023-04-19,114.900002,115.000000,114.220001,114.550003,114.550003,105951
2023-04-20,114.500000,115.500000,114.400002,115.389999,115.389999,243156
2023-04-21,null,null,null,null,null,null
2023-04-24,null,null,null,null,null,null
2023-04-25,115.389999,115.389999,115.389999,115.389999,115.389999,0
2023-04-26,115.610001,116.750000,114.910004,115.220001,115.220001,515233
2023-04-27,115.500000,117.699997,115.050003,115.470001,115.470001,799734
2023-04-28,116.000000,116.500000,114.779999,115.010002,115.010002,478990
2023-05-01,null,null,null,null,null,null
2023-05-02,115.500000,115.550003,114.300003,114.559998,114.559998,465172
2023-05-03,114.900002,116.320000,114.349998,115.019997,115.019997,688712
2023-05-04,115.010002,115.660004,113.500000,113.989998,113.989998,445152
2023-05-05,114.000000,115.250000,113.800003,113.959999,113.959999,380686
2023-05-08,114.010002,114.599998,112.550003,112.730003,112.730003,417587
2023-05-09,113.000000,113.000000,110.010002,110.570000,110.570000,616093
2023-05-10,109.760002,111.250000,109.000000,110.050003,110.050003,436532
2023-05-11,110.000000,111.250000,110.000000,110.150002,110.150002,189663
2023-05-12,110.989998,111.349998,110.250000,110.860001,110.860001,324202
2023-05-15,110.860001,112.000000,110.000000,111.650002,111.650002,422011
2023-05-16,112.000000,113.250000,112.000000,112.290001,112.290001,525880
2023-05-17,112.989998,112.989998,111.300003,111.519997,111.519997,462078
2023-05-18,112.400002,112.400002,109.699997,110.010002,110.010002,514145
2023-05-19,110.860001,110.900002,109.500000,110.370003,110.370003,115315
2023-05-22,110.860001,111.000000,109.500000,109.720001,109.720001,299246
2023-05-23,110.639999,110.639999,107.809998,108.010002,108.010002,507842
2023-05-24,108.839996,108.839996,105.800003,106.000000,106.000000,572137
2023-05-25,106.500000,106.540001,104.949997,105.720001,105.720001,674571
2023-05-26,105.199997,105.889999,100.019997,101.419998,101.419998,1577724
2023-05-30,101.050003,101.870003,100.610001,101.269997,101.269997,621989
2023-05-31,101.000000,101.989998,98.800003,99.160004,99.160004,976256
2023-06-01,99.510002,100.750000,99.010002,99.169998,99.169998,334034
2023-06-02,99.980003,99.980003,98.949997,99.029999,99.029999,369329
2023-06-05,99.699997,106.459999,99.699997,106.459999,106.459999,2207749
2023-06-06,108.260002,114.440002,108.250000,112.660004,112.660004,6852097
2023-06-07,112.800003,115.250000,110.699997,114.540001,114.540001,3843557
2023-06-08,114.540001,115.449997,110.199997,111.139999,111.139999,2074762
2023-06-09,112.000000,114.300003,111.000000,113.370003,113.370003,2022279
2023-06-12,113.800003,113.800003,111.250000,111.699997,111.699997,605642
2023-06-13,110.529999,114.089996,110.529999,112.379997,112.379997,1124990
2023-06-14,113.000000,113.989998,110.800003,111.129997,111.129997,943823
2023-06-15,111.500000,113.000000,110.800003,111.199997,111.199997,404820
2023-06-16,111.480003,111.480003,108.019997,108.680000,108.680000,757660
2023-06-20,105.510002,107.500000,103.800003,106.430000,106.430000,1331743
2023-06-21,106.750000,107.199997,103.000000,103.489998,103.489998,589780
2023-06-22,104.860001,104.860001,101.199997,101.620003,101.620003,373750
2023-06-23,101.620003,102.449997,99.750000,101.330002,101.330002,841044
2023-06-26,104.000000,108.930000,104.000000,108.559998,108.559998,3181164
2023-06-27,108.570000,111.849998,107.750000,111.010002,111.010002,4719530
2023-06-28,111.010002,111.010002,111.010002,111.010002,111.010002,0
2023-06-29,111.010002,111.010002,111.010002,111.010002,111.010002,0
2023-06-30,null,null,null,null,null,null
2023-07-03,119.339996,119.339996,119.339996,119.339996,119.339996,1519143
2023-07-05,118.500000,123.440002,118.500000,120.500000,120.500000,6666234
2023-07-06,123.000000,124.879997,122.000000,123.349998,123.349998,5666209
2023-07-07,123.300003,124.349998,121.989998,122.290001,122.290001,1772243
2023-07-10,122.900002,125.699997,122.059998,124.239998,124.239998,5777349
2023-07-11,124.750000,126.000000,123.750000,124.430000,124.430000,2961875
2023-07-12,125.500000,125.779999,123.000000,124.220001,124.220001,2410754
2023-07-13,125.290001,126.099998,123.260002,123.629997,123.629997,2938904
2023-07-14,123.989998,124.000000,121.300003,121.639999,121.639999,1154745
